NAME,	POST_CODE
'Zuhlke Engineering',	EC2A 3JL
'ZPG',	SE1 2LH
'Zopa',	SE1 2QG
'Zego',	EC2A 4DS
'YouView TV',	EC3R 6YT
'Yieldify',	E1 8FA
'WonderBill',	SE1 7NA
'WIREWAX',	W1T 1HU
'Vodafone', 	
'Vlocity', SE1 8HP	
'Verv', EC3R 6HD 	
'Vedra'	
'Vanquis Bank', EC3M 3BY	
'Utility Warehouse',	
'USIO',  SE1 1HL
'TXODDS ', EC1V 3NU	
'Turner ', SOHO	
'Trussle'	
'TrueUp'	
'Tray.io'	
'Transport for London'	
'TransFICC'	
'Thread'	
'The Telegraph '	
'The Guardian'	
'The Bakery'	
'The App Business'	
'Tessian'	
'Tesco Technology'	
'TALENT MONTREAL'	
'Tailwise'	
'Synthace'	
'Switchee Limited'	
'Starling Bank'	
'SquareBook'	
'Spirable'	
'Speechmatics'	
'Simprints'	
'Signal Ocean'	
'Seedrs'	
'Scott Logic'	
'Santander UK'	
'Runpath'	
'Racing Post'	
'QuantumBlack'	
'QBE Insurance'	
'Pulselive'	
'Profusion'	
'PRODYNA'	
'PredictX'	
'Precis Digital'	
'Playtech'	
'Pizza Hut Digital Ventures'	
'Pivotal'	
'Pivigo'	
'Perkbox'	
'Panaseer'	
'Paddle'	
'OVO Energy'	
'OurPath'	
'Oradian'	
'Oracle'	
'Octopus Labs'	
'Oakam'	
'New Look'	
'NewDay'	
'Nacar Design'	
'Mosaic Smart Data Limited'	
'MOO'	
'Moneybox'	
'Merkle '	
'Medopad Ltd'	
'Medidata Solutions'	
'Matchesfashion.com'	
'Makers Academy'	
'makepositive'	
'Luno'	
'Livedrive'	
'Lightful'	
'Lenstore'	
'Lendingblock'	
'Launchpad'	
'Last.fm'	
'Ksubaka'	
'KPMG'	
'Kobalt Music'	
'Kairos Digital Solutions'	
'John Lewis '	
'Jazz Networks'	
'Jaja Finance Ltd.'	
'Jaguar Land Rover'	
'ITV'	
'InVision'	
'Investec'	
'Invenia Labs'	
'Instructure'	
'iManage'	
'Houzz'	
'Hostmaker'	
'Hex Digital'	
'Hawk-Eye Innovations'	
'Government Digital Service - Digital, Data and Technology Profession'	
'Gousto'	
'GoSquared'	
'Global'	
'giffgaff'	
'FunFair Technologies Ltd'	
'Funding Options '	
'FundApps'	
'Focusrite'	
'Flyt'	
'FlexTrade'	
'FilmLight'	
'Farfetch'	
'FanDuel'	
'Everystay'	
'Everledger'	
'Elliptic'	
'Elevate Credit'	
'EDITED'	
'ECS Digital'	
'dxw digital'	
'DueDil'	
'Duco'	
'Drover'	
'DNEG'	
'disguise'	
'Deloitte Digital'	
'Deloitte'	
'Decision Tech'	
'DAZN'	
'Datatonic'	
'Curve'	
'Crypto Compare'	
'Cookpad Ltd'	
'Contino'	
'Contentsquare'	
'Cloudreach'	
'CloudMargin'	
'Clearswift'	
'clearmatics'	
'Cisco'	
'Checkout.com'	
'Charlotte Tilbury Beauty Ltd'	
'CGI'	
'Cashplus'	
'carwow'	
'Capital on Tap'	
'Capco'	
'Cambridge Bio-Augmentation Systems (CBAS)'	
'BuzzFeed'	
'Bulb'	
'BuffaloGrid'	
'Bud'	
'B-Social'	
'Brolly'	
'Bristol Calling (TechSPARK)'	
'Brilliant Basics'	
'BP Plc'	
'Blue Vision Labs'	
'blk.io'	
'Blend Media'	
'BBOXX'	
'BBC'	
'Basement Crowd'	
'Attensi'	
'ASOS'	
'Arcadia Data'	
'Arcadia'	
'Alpha'	
'Alfresco Software'	
'Alfa'	
'Alchera Technologies'	
'Aire '	
'AIG'	
'Accenture'	
'AbilityNet'	
'38 Degrees'	
